Product Names,New to site?,Previous Prices,Previous Timestamp,Current Prices,Current Timestamp,Price Difference
LOCTITE 3D 3843,NO,£175.00,2024-10-27 10:44:34,£175.00,2024-10-27 11:56:13,0.0
LOCTITE 3D IND403,NO,£221.00,2024-10-27 10:44:34,£221.00,2024-10-27 11:56:13,0.0
LOCTITE 3D IND249,NO,£246.00,2024-10-27 10:44:34,£246.00,2024-10-27 11:56:13,0.0
LOCTITE 3D IND405,NO,£175.00,2024-10-27 10:44:34,£175.00,2024-10-27 11:56:13,0.0
LOCTITE 3D IND147,NO,£246.00,2024-10-27 10:44:34,£246.00,2024-10-27 11:56:13,0.0
LOCTITE 3D IND475,NO,£213.00,2024-10-27 10:44:34,£213.00,2024-10-27 11:56:13,0.0
LOCTITE 3D IND402,NO,£238.00,2024-10-27 10:44:34,£238.00,2024-10-27 11:56:13,0.0
LOCTITE 3D 8195,NO,£192.00,2024-10-27 10:44:34,£192.00,2024-10-27 11:56:13,0.0
"Loctite 3D Printing Cleaner T, 18kg",NO,£458.00,2024-10-27 10:44:34,£458.00,2024-10-27 11:56:13,0.0
"Loctite 3D Printing Cleaner C, 18kg",NO,£433.00,2024-10-27 10:44:34,£433.00,2024-10-27 11:56:13,0.0
Loctite EQ CL36 LED Curing Chamber,NO,"£5,667.00",2024-10-27 10:44:34,"£5,667.00",2024-10-27 11:56:13,0.0
Otoflash G171-6  With protective Gas Port,NO,"£2,667.00",2024-10-27 10:44:34,"£2,667.00",2024-10-27 11:56:13,0.0
Otoflash G171-2,NO,"£2,267.00",2024-10-27 10:44:34,"£2,267.00",2024-10-27 11:56:13,0.0
Lumii DLP 3D Printer,NO,"£2,583.00",2024-10-27 10:44:34,"£2,583.00",2024-10-27 11:56:13,0.0
Sonic Mega 8K S,NO,"£1,292.00",2024-10-27 10:44:34,"£1,292.00",2024-10-27 11:56:13,0.0
Sonic Mega 8K S Bundle,NO,"£1,916.00",2024-10-27 10:44:34,"£1,916.00",2024-10-27 11:56:13,0.0
Sonic Mighty Revo,NO,£917.00,2024-10-27 10:44:34,£917.00,2024-10-27 11:56:13,0.0
Sonic Mega 8K V2,NO,"£2,417.00",2024-10-27 10:44:34,"£2,417.00",2024-10-27 11:56:13,0.0
Sonic Mega 8K V2 Bundle,NO,"£3,000.00",2024-10-27 10:44:34,"£3,000.00",2024-10-27 11:56:13,0.0
Sonic Mini 8K S,NO,Out of stock,2024-10-27 10:44:34,Out of stock,2024-10-27 11:56:13,N/A
Sonic Mighty 8K,NO,£542.00,2024-10-27 10:44:34,£542.00,2024-10-27 11:56:13,0.0
Sonic XL 4K Plus,NO,"£2,917.00",2024-10-27 10:44:34,"£2,917.00",2024-10-27 11:56:13,0.0
Sonic XL 4K Plus Bundle,NO,"£4,100.00",2024-10-27 10:44:34,"£4,100.00",2024-10-27 11:56:13,0.0
Package for Printing in Volume,NO,"£1,990.00",2024-10-27 10:44:34,"£1,990.00",2024-10-27 11:56:13,0.0
